#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
2666,54230,72,161.9444,9.365841,73.57055,8.548402,220.337,12.9803,279.7395,12.66509
2666,54230,111,105.9821,9.331771,58.14252,8.309167,180.6384,13.92392,301.6192,14.43707
2666,54230,264,61.01204,7.567687,145.8181,7.131382,838.1998,13.47288,427.5466,11.57399
2666,54230,372,106.8847,6.365555,86.50205,5.336984,318.1252,9.32227,398.0862,9.810698
2666,54230,445,73.63195,6.759197,46.78571,6.438868,135.7106,9.968325,163.5085,9.661489
341,51690,151,124.5564,7.466159,809.8279,11.03908,3593.997,27.80362,1491.908,15.15351
553,51999,523,228.3233,13.30641,130.4644,12.88144,352.1212,20.61952,332.0574,18.24706
553,51999,569,561.1763,11.25312,176.9318,6.770444,704.627,13.42096,620.0989,17.64034
553,51999,596,7271.119,64.58867,1768.915,15.52523,4717.712,35.88542,338.3695,5.51185
555,52266,338,69.69997,5.269759,45.12333,5.37572,111.7822,7.222983,104.7248,6.239869
555,52266,364,67.83932,6.299186,31.06418,5.581486,87.20211,8.085941,180.1397,8.468869
555,52266,458,151.7438,7.324663,713.1404,9.089782,3564.81,24.66689,1704.94,15.46726
559,52316,214,690.1848,14.18314,213.9388,15.11454,591.527,16.25727,451.8427,14.3288
853,52374,520,298.3256,12.07237,152.5538,9.302724,581.9186,15.59973,664.0901,16.12676
854,52373,37,104.0478,8.674654,94.25947,9.097725,184.8659,12.70862,258.0076,12.65036
854,52373,359,81.99693,6.046089,309.3317,6.557569,1598.466,15.61671,807.6415,11.14215
854,52373,486,73.78905,5.594744,30.58701,4.402474,78.75291,5.710846,72.17674,5.973481
855,52375,549,455.0986,10.37578,569.1046,9.531271,2388.482,25.10738,732.5,10.39396
1070,52591,72,1100.439,22.68084,2580.729,30.72888,12836.56,110.0802,5870.452,46.81752
1921,53317,227,94.45359,12.92476,78.86882,11.31372,175.5919,17.33519,219.9313,19.37492
1923,53319,106,176.9746,13.12731,186.7225,14.66582,539.1073,25.66793,623.8286,23.66879
1923,53319,284,142.73,5.596315,117.1479,4.869117,486.3678,8.542134,343.6143,7.936851
1923,53319,551,221.0712,4.661606,612.0125,6.519563,2261.605,15.36957,845.0268,7.783753
1923,53319,629,375.864,5.281759,575.6002,5.900801,2068.504,13.64887,593.111,5.842029
1926,53317,203,220.357,5.071107,441.7253,5.410116,1973.538,14.80908,739.242,7.017831
2152,53874,449,71.18873,5.758212,92.03091,5.091664,457.5656,8.89494,270.8259,8.255996
2155,53820,633,1583.726,20.05308,2112.095,21.71673,9728.388,72.61543,3436.171,28.56997
2573,54061,338,80.13409,8.993731,43.30599,8.149185,110.6197,12.95962,155.461,13.0204
327,52294,440,162.7971,6.003038,519.0616,7.582395,2160.269,17.96206,985.9525,10.93233
328,52282,19,44.30309,4.461651,19.25129,3.210367,45.91686,4.477952,64.70358,5.387369
328,52282,237,68.7897,4.054638,28.71009,3.490846,70.48476,4.606831,54.77916,4.228047
328,52282,583,42.79592,3.335696,19.54442,2.96475,49.43196,3.769031,34.58287,3.326279
328,52282,606,50.91447,4.093251,34.54463,4.053351,85.2169,5.64572,51.62276,4.764537
329,52056,362,246.3916,11.67183,84.22272,9.025786,385.5475,15.60835,458.694,15.97604
541,51959,582,70.26254,2.696149,201.9345,2.987208,854.0805,6.038965,405.7342,3.939336
541,51959,600,537.8494,4.097365,417.3955,3.177489,1508.548,7.87278,311.7314,2.304628
542,51993,265,94.55556,3.899813,372.8835,4.556087,1509.113,9.569801,679.321,6.670707
542,51993,308,297.5076,3.246636,423.8577,3.487556,1410.137,6.977862,362.0918,2.515373
546,52205,568,102.4244,7.533648,31.05786,6.030246,96.0279,8.490808,95.61901,8.456496
952,52409,227,8295.316,56.81057,3371.086,27.29591,17429.35,108.6633,2644.452,21.8765
952,52409,247,3576.736,39.99513,3131.999,33.01151,14658.14,113.2659,6027.313,43.51908
1879,54478,120,3969.851,40.3701,5687.946,46.90277,20359.51,153.782,4030.301,35.33723
1879,54478,411,780.1848,16.53868,2252.112,25.33994,33024.26,468.1544,17620.34,109.3207
2828,54438,520,10.70297,2.066214,45.38665,2.368899,75.81604,2.798276,64.12659,2.735712
2829,54623,235,50.42423,2.584325,112.6786,2.587683,473.5976,4.790067,221.2122,3.649279
2829,54623,238,36.31393,2.603936,185.3663,3.078673,926.6036,7.353087,321.5735,4.389384
2829,54623,312,32.11982,2.535954,21.6263,2.210872,64.67981,3.005635,63.31187,3.057636
499,51988,404,96.24347,5.509517,159.8145,5.19357,794.5302,9.647806,528.73,8.544439
501,52235,163,201.2907,6.807603,128.325,5.192445,632.7863,9.622921,430.8555,9.043493
501,52235,257,133.8292,4.681295,463.1262,6.060826,1859.106,13.9993,963.9767,8.354939
501,52235,366,1802.648,16.44949,629.8487,9.47629,2483.975,21.24338,1633.201,15.92884
501,52235,566,41.79954,3.978508,53.39894,3.45164,216.9138,5.625008,156.9189,5.729785
930,52618,485,228.4237,9.226475,160.6909,8.766706,368.5282,13.54654,279.0559,12.22683
932,52620,56,237.8362,10.00151,378.2467,9.673588,1424.602,19.72264,1030.707,17.22043
1205,52670,95,704.2949,14.09209,968.8214,13.62801,4344.326,36.43396,1926.079,19.39206
1458,53119,13,79.49393,9.618537,263.3401,8.643849,1227.583,17.15419,524.75,13.88941
1761,53376,325,437.3204,10.20458,1002.564,12.40361,4913.259,37.30189,2648.526,22.06172
1974,53430,431,103.2341,5.958036,374.0042,6.631282,1796.589,16.52211,841.0414,10.4956
1974,53430,566,115.8487,5.497598,707.408,8.032629,3346.129,27.29002,1500.314,12.72727
1975,53734,318,150.9112,12.00662,92.8986,11.24196,232.3506,17.49063,287.5901,17.08443
1975,53734,498,26469.81,298.396,4141.521,42.4416,14215.46,142.5868,289.1529,4.912669
2218,53816,224,227.045,6.494497,101.6601,4.805013,382.3579,7.824757,382.7119,7.921231
2218,53816,416,356.1149,7.091867,35.22143,3.788932,187.7365,6.19093,300.0123,6.961119
2218,53816,537,106.7201,6.314855,451.0143,7.381761,3397.34,25.90174,2429.063,18.64248
2218,53816,557,67.58727,6.721762,42.9437,6.314975,155.4984,9.49922,206.7797,9.252748
2219,53816,458,576.6367,12.23001,751.2755,11.64649,2943.388,27.18129,1401.705,16.44083
2222,53799,548,103.2692,8.554826,71.25346,6.740085,260.2286,11.23941,366.5516,13.13887
2636,54082,584,1070.759,6.662357,1005.185,6.013339,3609.891,16.95721,767.5396,3.831604
2636,54082,591,348.8553,3.58433,93.16865,2.299038,356.2196,3.748603,398.4602,3.813112
2636,54082,636,17.25338,1.473576,32.74776,1.324268,130.0697,1.994057,88.33881,1.862136
2868,54451,493,95.08416,2.495764,167.6909,2.365611,1111.834,6.541389,726.9317,4.925529
446,51899,533,56.21196,4.889818,31.91691,4.234848,78.98113,5.61822,84.84783,5.882434
446,51899,539,126.1024,4.669366,61.65615,4.063365,262.5349,6.315266,208.9472,5.842685
447,51877,36,176.0314,12.16169,126.1171,11.12473,380.8809,18.23789,307.4327,17.04857
448,51900,448,103.1774,11.92002,64.18906,10.30844,147.4253,15.34062,209.0202,16.77663
696,52209,234,131.3573,7.395684,99.25674,5.881478,381.3207,9.616488,733.5363,12.011
939,52636,233,158.6263,6.561438,1240.925,12.83537,5799.539,40.33777,2790.235,19.55161
1854,53566,133,151.4102,11.30373,78.75883,8.238578,235.927,13.61166,250.981,15.64519
2428,53801,616,79.3125,6.03878,45.06057,4.529568,127.7158,6.472085,42.68523,6.261672
2742,54233,470,86.70879,7.558463,52.2738,6.995248,170.908,11.26226,269.4178,11.18104
2742,54233,599,63.36956,7.235195,39.62777,5.998344,81.65417,8.147587,78.99485,8.698913
2743,54259,216,2322.263,32.86066,2452.829,29.62302,11302.42,91.37082,6562.333,54.51602
2744,54272,3,697.5121,12.93939,1368.104,14.90736,7515.619,49.80277,4053.742,27.32468
630,52050,245,470.1197,9.678471,2261.424,19.43406,8449.703,50.29559,3992.471,22.33614
630,52050,305,286.3273,8.452332,154.8157,6.857745,646.5287,12.15496,610.662,12.03203
890,52583,281,154.2365,8.046695,44.782,5.296945,173.0696,8.205438,245.4339,9.784154
890,52583,434,43.25731,5.692621,26.38503,4.838173,90.65086,7.625014,158.0336,8.635384
890,52583,580,140.6149,11.33928,67.60653,9.012314,162.4741,13.37847,146.2638,13.65172
890,52583,590,1030.499,18.42098,158.5034,10.21366,797.8468,19.33614,1028.453,20.83676
892,52378,560,224.547,8.379918,862.7401,11.05003,4470.482,35.07556,1973.625,18.87499
893,52589,305,1086.957,13.44569,1582.364,15.04655,5999.017,42.02035,3010.845,20.69637
1301,52976,25,104.7954,5.374601,709.2227,7.870179,3745.274,22.36894,1788.393,12.40918
1303,53050,220,175.2885,8.244754,654.1502,10.16373,3021.58,24.97514,1725.61,16.8212
1510,52992,72,1108.043,16.57144,934.2762,13.34546,3902.069,37.36034,2157.588,20.23749
1511,52946,351,532.5941,15.44969,2331.819,24.97785,8420.575,61.84837,2890.179,27.67229
1704,53178,369,145.5356,10.59037,71.17275,8.133725,197.6694,12.34319,177.0869,12.69388
1706,53442,479,782.5197,10.23955,743.0601,8.628454,2808.334,29.98997,655.5192,7.574698
1936,53330,20,3722.328,32.88968,2066.184,19.86902,7557.503,55.66848,1671.147,14.98096
1936,53330,531,179.2619,8.780711,105.9366,7.397061,422.9784,13.20694,691.1412,14.84767
1936,53330,583,124.6991,10.05816,148.1255,9.36533,854.4304,20.11884,658.5085,18.8017
1936,53330,597,264.8692,19.62423,538.125,17.41739,3547.048,43.28188,2276.76,36.5602
2158,54209,377,88.93002,6.141963,94.80769,4.946017,350.2201,8.664713,311.5451,9.26956
2435,53828,434,52.40072,4.757541,25.63483,4.156161,83.1479,6.084855,113.3515,6.366022
2436,54054,417,58.12259,4.237918,18.79779,2.944084,55.33094,2.932251,23.86265,3.799834
2437,53848,604,146.4403,9.583362,384.416,10.26239,1600.542,21.87453,1010.898,17.68142
2754,54240,116,119.3805,10.22817,81.98138,6.902039,251.8802,9.291022,336.1245,14.38172
285,51930,348,2402.944,24.65374,3685.008,30.29843,13171.2,76.75196,3451.395,23.88097
287,52023,16,34.37462,5.43385,30.09818,4.833462,116.7162,7.21773,134.4464,7.215703
287,52023,354,45.40165,3.273368,201.4609,3.67106,835.7939,7.222262,362.7391,5.059918
287,52023,413,29.55753,3.606217,33.09515,3.816579,77.73664,4.746259,59.01689,4.26003
287,52023,574,57.48952,3.70389,157.6204,3.868268,703.2859,6.972041,304.1326,5.363633
517,52024,230,81.97357,9.683243,194.9846,10.71062,684.9479,16.13399,354.9236,14.03726
517,52024,431,49.95271,3.959733,169.2189,4.161956,682.2465,7.532054,279.9547,5.6551
517,52024,504,1035.059,13.7164,4447.57,28.70271,19804.22,108.0324,11327.55,50.56566
519,52283,415,1097.839,17.09361,364.6638,12.50849,1627.747,26.47431,3161.461,30.81726
520,52288,309,44.83813,2.710754,130.6656,3.439424,419.5094,6.105363,158.0713,3.517644
520,52288,369,716.2837,8.55501,183.6861,5.343229,1068.022,10.83635,776.9305,9.131131
520,52288,392,135.2468,3.800498,76.35136,2.820821,251.8301,3.637156,53.95197,2.469164
520,52288,558,46.30285,2.933027,245.9776,4.979963,2279.313,21.74593,803.074,9.16296
520,52288,579,87.40623,3.046349,200.7558,3.377355,758.567,6.488899,234.8429,3.697485
521,52326,251,108.7206,9.814807,85.28259,8.776263,179.7516,12.23596,155.4072,12.26484
521,52326,300,6729.555,54.59995,928.8184,15.54624,3834.808,39.84819,2136.215,26.24652
774,52286,400,165.9937,5.398224,1454.864,12.99243,7645.03,49.26654,3082.557,20.6871
775,52295,410,1267.279,16.21635,1461.345,15.67808,5745.364,47.17968,1467.125,14.2294
