plate,mjd,fiberid,Hbeta flux,Hbeta flux err,redshift
1696,53116,220,208.9556,9.329692,0.1691393
1701,53142,131,148.6421,5.18586,0.2909273
1695,53473,400,251.4464,9.987187,0.2067854
1701,53142,200,1036.224,12.1513,0.1263564
1676,53147,255,272.791,7.138761,0.2355146
1677,53148,15,311.1623,7.978214,0.1503511
1672,53460,237,457.9528,5.858421,0.2744993
2792,54556,89,1935.623,18.46422,0.1705441
2789,54555,231,155.7982,6.91906,0.2048016
2778,54539,572,163.4199,4.309058,0.2681316
2755,54507,65,156.4176,8.442396,0.2155004
2756,54508,228,2094.599,29.71515,0.1514729
2618,54506,416,317.0081,5.960416,0.2926029
602,52072,91,408.8541,7.176494,0.1925539
608,52081,168,257.3318,3.867853,0.2765597
608,52081,1,59.42062,4.542552,0.2102813
604,52079,494,923.1448,10.09594,0.175201
1322,52791,389,128.5294,4.945568,0.2466999
1350,52786,247,280.5206,6.72653,0.2959745
1351,52790,88,840.9855,10.7202,0.2460663
1816,53919,420,1217.472,10.53936,0.1642324
1709,53533,230,292.4267,5.721087,0.2416667
2094,53851,630,1342.066,18.62643,0.1175316
2116,53854,520,150.8058,3.513977,0.2972019
2122,54178,436,356.9352,6.805614,0.1963692
2122,54178,200,268.0277,5.733673,0.2972041
2093,53818,123,248.2047,7.612834,0.176481
2110,53467,518,375.6497,9.020966,0.2419603
2772,54529,231,930.851,7.613086,0.2385001
311,51665,26,236.1087,6.51252,0.2278282
785,52339,46,200.5956,4.485605,0.2926344
790,52441,145,253.0201,10.88745,0.1739174
786,52319,150,687.257,7.412275,0.2376035
1042,52725,499,331.5244,5.521339,0.2935225
1042,52725,609,526.8307,10.52712,0.2215805
1460,53138,197,139.8595,4.873445,0.2694953
1675,53466,506,1007.271,9.832116,0.2923579
1278,52735,96,589.2418,7.048542,0.2353105
1282,52759,45,136.7419,4.88448,0.2715582
1284,52736,230,385.2041,6.516995,0.267134
1286,52725,384,77.77452,4.206486,0.2369364
1795,54507,457,4630.266,39.06572,0.153836
2745,54231,295,944.1344,13.1144,0.265141
2750,54242,86,298.6597,5.478096,0.2584745
2146,54230,204,1012.94,10.42747,0.2483222
2603,54479,443,1080.492,13.24772,0.1182318
499,51988,9,649.4446,7.122365,0.2143538
1718,53850,79,452.3181,7.254642,0.2820169
1718,53850,490,245.4682,5.283834,0.2848544
2016,53799,86,645.0529,12.60856,0.1946741
2023,53851,192,539.6846,8.496855,0.2158535
1993,53762,142,206.4684,5.842134,0.2207066
2606,54154,44,117.0851,5.100585,0.2461739
337,51997,30,126.67,4.911716,0.2955231
1040,52722,476,218.6221,5.073981,0.2971902
1041,52724,440,178.4646,5.233813,0.2917909
1696,53116,549,475.9464,7.286317,0.2204827
1700,53502,546,156.1231,5.531788,0.2733904
1843,53816,565,369.7131,5.50872,0.2178915
2110,53467,14,98.33443,5.660883,0.2226619
495,51988,207,1639.537,14.13992,0.2817113
1467,53115,637,67.73352,5.249619,0.2592131
1815,53884,156,295.1519,5.2198,0.2695875
1813,53903,471,173.0147,3.987231,0.2568896
2743,54259,576,531.9232,8.941378,0.1502831
2641,54230,284,153.3029,5.612635,0.1882003
2641,54230,269,143.6215,5.137839,0.2595482
2758,54523,14,285.3593,5.340387,0.2375693
852,52375,625,100.2148,5.465154,0.1739949
1801,54156,358,128.327,2.908174,0.2775687
528,52022,522,82.83208,2.888342,0.1922287
913,52433,407,102.1598,4.342295,0.1779683
2122,54178,46,215.3567,5.785762,0.2514291
495,51988,333,228.6028,5.58234,0.2736361
497,51989,466,2236.087,20.03301,0.1277341
